Country;Region;Population;Area;GDP;Literacy
Saint Lucia;LATIN AMER. & CARIB;168458;616;5400.0;67.0
Guinea;SUB-SAHARAN AFRICA;9690222;245857;2100.0;35.9
Paraguay;LATIN AMER. & CARIB;6506464;406750;4700.0;94.0
Burkina Faso;SUB-SAHARAN AFRICA;13902972;274200;1100.0;26.6
Laos;ASIA (EX. NEAR EAST);6368481;236800;1700.0;66.4
Cyprus;NEAR EAST;784301;9250;19200.0;97.6
Mongolia;ASIA (EX. NEAR EAST);2832224;1564116;1800.0;97.8
Indonesia;ASIA (EX. NEAR EAST);245452739;1919440;3200.0;87.9
Switzerland;WESTERN EUROPE;7523934;41290;32700.0;99.0
Uzbekistan;C.W. OF IND. STATES;27307134;447400;1700.0;99.3
Peru;LATIN AMER. & CARIB;28302603;1285220;5100.0;90.9
Micronesia, Fed. St.;OCEANIA;108004;702;2000.0;89.0
Congo, Dem. Rep.;SUB-SAHARAN AFRICA;62660551;2345410;700.0;65.5
Lithuania;BALTICS;3585906;65200;11400.0;99.6
Sudan;SUB-SAHARAN AFRICA;41236378;2505810;1900.0;61.1
Belize;LATIN AMER. & CARIB;287730;22966;4900.0;94.1
Pakistan;ASIA (EX. NEAR EAST);165803560;803940;2100.0;45.7
Hong Kong;ASIA (EX. NEAR EAST);6940432;1092;28800.0;93.5
Lebanon;NEAR EAST;3874050;10400;4800.0;87.4
Libya;NORTHERN AFRICA;5900754;1759540;6400.0;82.6
Eritrea;SUB-SAHARAN AFRICA;4786994;121320;700.0;58.6
Bangladesh;ASIA (EX. NEAR EAST);147365352;144000;1900.0;43.1
Palau;OCEANIA;20579;458;9000.0;92.0
Japan;ASIA (EX. NEAR EAST);127463611;377835;28200.0;99.0
Greece;WESTERN EUROPE;10688058;131940;20000.0;97.5
Armenia;C.W. OF IND. STATES;2976372;29800;3500.0;98.6
Papua New Guinea;OCEANIA;5670544;462840;2200.0;64.6
Cuba;LATIN AMER. & CARIB;11382820;110860;2900.0;97.0
Bulgaria;EASTERN EUROPE;7385367;110910;7600.0;98.6
Georgia;C.W. OF IND. STATES;4661473;69700;2500.0;99.0
Sweden;WESTERN EUROPE;9016596;449964;26800.0;99.0
Sao Tome & Principe;SUB-SAHARAN AFRICA;193413;1001;1200.0;79.3
Bolivia;LATIN AMER. & CARIB;8989046;1098580;2400.0;87.2
Angola;SUB-SAHARAN AFRICA;12127071;1246700;1900.0;42.0
Poland;EASTERN EUROPE;38536869;312685;11100.0;99.8
Afghanistan;ASIA (EX. NEAR EAST);31056997;647500;700.0;36.0
Puerto Rico;LATIN AMER. & CARIB;3927188;13790;16800.0;94.1
Vanuatu;OCEANIA;208869;12200;2900.0;53.0
Iraq;NEAR EAST;26783383;437072;1500.0;40.4
